,Disk2Angle,DeltaEECable
118,-0.5410520681182479,-0.49335136055405937
119,-0.5323254218582762,-0.5341524252149181
120,-0.5235987755983046,-0.5750346582951955
121,-0.5148721293383329,-0.6159949464545562
122,-0.5061454830783613,-0.6570301704084749
123,-0.4974188368183896,-0.6981372051657754
124,-0.48869219055841795,-0.739312920266604
125,-0.4799655442984463,-0.7805541800208399
126,-0.47123889803847463,-0.8218578437468806
127,-0.46251225177850297,-0.86322076601082
128,-0.4537856055185313,-0.9046397968659865
129,-0.44505895925855965,-0.9461117820928161
130,-0.436332312998588,-0.9876335634390704
131,-0.42760566673861633,-1.029201978860344
132,-0.41887902047864467,-1.0708138627608599
133,-0.410152374218673,-1.1124660462345537
134,-0.40142572795870135,-1.1541553573063912
135,-0.3926990816987297,-1.1958786211739276
136,-0.38397243543875803,-1.2376326604490833
137,-0.37524578917878637,-1.279414295400106
138,-0.3665191429188147,-1.3212203441937318
139,-0.35779249665884305,-1.3630476231374888
140,-0.3490658503988714,-1.40489294692214
141,-0.34033920413889973,-1.446753128864271
142,-0.33161255787892807,-1.4886249811489582
143,-0.3228859116189564,-1.530505315072537
144,-0.31415926535898475,-1.5723909412854347
145,-0.3054326190990131,-1.6142786700350442
146,-0.29670597283904143,-1.6561653114086483
147,-0.28797932657906977,-1.698047675576338
148,-0.2792526803190981,-1.7399225730339234
149,-0.27052603405912645,-1.78178681484584
150,-0.2617993877991548,-1.8236372128879899
151,-0.25307274153918313,-1.8654705800905318
152,-0.24434609527921147,-1.9072837306805905
153,-0.2356194490192398,-1.9490734804248584
154,-0.22689280275926815,-1.9908366468720993
155,-0.2181661564992965,-2.0325700495954973
156,-0.20943951023932483,-2.0742705104348533
157,-0.20071286397935317,-2.1159348537386267
158,-0.1919862177193815,-2.157559906605765
159,-0.18325957145940985,-2.1991424991273347
160,-0.1745329251994382,-2.240679464627923
161,-0.16580627893946653,-2.2821676399067865
162,-0.15707963267949487,-2.3236038654787516
163,-0.14835298641952321,-2.3649849858148166
164,-0.13962634015955155,-2.4063078495824497
165,-0.1308996938995799,-2.4475693098855893
166,-0.12217304763960825,-2.488766224504283
167,-0.1134464013796366,-2.529895456133983
168,-0.10471975511966496,-2.5709538726244627
169,-0.09599310885969331,-2.6119383472183397
170,-0.08726646259972166,-2.652845758789198
171,-0.07853981633975002,-2.6936729920792657
172,-0.06981317007977837,-2.734416937936662
173,-0.061086523819806726,-2.7750744935521583
174,-0.05235987755983508,-2.8156425626954844
175,-0.043633231299863434,-2.85611805595111
176,-0.03490658503989179,-2.8964978909535164
177,-0.026179938779920142,-2.9367789926219325
178,-0.017453292519948496,-2.9769582933945085
179,-0.008726646259976848,-3.0170327334619316
180,-5.200700980978468e-15,-3.0569992610004366
181,0.008726646259966447,-3.096854832404216
182,0.017453292519938095,-3.1365964125171963
183,0.02617993877990974,-3.176220974864189
184,0.03490658503988139,-3.2157255018813586
185,0.04363323129985303,-3.255106985146024
186,0.05235987755982468,-3.2943624256057653
187,0.061086523819796325,-3.3334888338068036
188,0.06981317007976798,-3.3724832301216727
189,0.07853981633973962,-3.41134264497612
190,0.08726646259971127,-3.4500641190752543
191,0.09599310885968292,-3.4886447036289088
192,0.10471975511965456,-3.527081460576194
193,0.11344640137962621,-3.565371462809258
194,0.12217304763959785,-3.6035117943961836
195,0.1308996938995695,-3.6414995508030565
196,0.13962634015954117,-3.679331839115147
197,0.14835298641951283,-3.7170057782572283
198,0.1570796326794845,-3.754518499212974
199,0.16580627893945615,-3.7918671452434496
200,0.1745329251994278,-3.8290488721046536
201,0.18325957145939947,-3.8660608482641337
202,0.19198621771937113,-3.902900255116607
203,0.2007128639793428,-3.9395642871986145
204,0.20943951023931445,-3.9760501524021583
205,0.2181661564992861,-4.012355072187344
206,0.22689280275925777,-4.048476281793971
